rating,director,release_year,listed_in,title,country,duration,type,Cluster
8,3988,0.823529411764706,287,3307,80,217,0,2
9,3986,1.0,229,354,80,15,0,0
8,3066,1.0,291,7936,52,0,1,1
6,3066,1.0,393,5015,52,0,1,1
9,3066,1.0,299,3211,52,0,1,1
8,709,1.0,288,8291,80,198,0,2
8,3066,0.8823529411764707,411,1417,52,0,1,1
6,2429,0.7647058823529412,22,559,29,35,0,0
8,3066,1.0,390,2221,52,0,1,1
0,1031,0.823529411764706,137,154,80,210,0,2
8,3066,1.0,80,5769,52,0,1,1
8,3066,1.0,399,2224,52,0,1,1
9,3066,1.0,299,5416,52,0,1,1
6,3369,0.0,331,578,29,53,0,0
8,3066,1.0,246,961,52,0,1,1
8,3066,1.0,390,2223,52,0,1,1
7,3066,1.0,273,2994,52,135,0,2
10,3066,1.0,421,5829,52,110,1,3
8,3066,1.0,399,2222,52,0,1,1
8,3066,1.0,441,8009,52,147,0,2
6,3066,1.0,68,8122,52,147,0,2
11,3066,0.823529411764706,432,2866,52,110,1,3
6,3066,1.0,290,3066,52,0,1,1
8,3066,1.0,392,4298,52,0,1,1
7,3066,0.9411764705882354,365,6023,52,176,0,2
11,3066,0.9411764705882354,421,4602,52,0,1,1
10,3066,0.3529411764705883,421,828,52,110,1,3
9,3066,1.0,445,5433,52,0,1,1
8,3066,1.0,398,7827,52,110,1,3
8,3066,1.0,80,8673,52,0,1,1
7,3066,1.0,299,2993,52,0,1,1
6,1762,1.0,299,1688,51,0,1,1
8,4464,0.9411764705882354,331,6214,51,22,0,0
8,2482,1.0,294,4671,51,0,1,1
3,1747,0.29411764705882354,336,1224,79,24,0,0
9,2954,0.6470588235294118,198,1956,29,19,0,0
4,2495,1.0,273,2431,79,214,0,2
6,3847,0.7647058823529412,331,2863,29,9,0,0
8,1686,0.9411764705882354,328,3034,55,219,0,2
4,1432,0.7647058823529412,331,359,20,20,0,0
5,1747,0.0,512,3344,79,23,0,0
10,3066,0.5294117647058825,124,3755,52,192,0,2
11,3066,0.8823529411764707,120,5937,52,211,0,2
11,3066,1.0,86,775,52,0,1,1
6,4339,0.9411764705882354,328,6250,29,20,0,0
3,2649,0.0,124,162,80,215,0,2
4,2359,0.05882352941176472,308,539,22,11,0,0
5,3507,0.0,16,1068,80,22,0,0
6,3066,1.0,184,1780,52,148,0,2
5,2997,0.6470588235294118,60,1415,67,28,0,0
8,593,0.7058823529411765,184,3508,80,206,0,2
9,3066,0.7058823529411765,392,1798,52,0,1,1
6,3066,1.0,384,2048,52,0,1,1
8,3066,1.0,446,7854,52,0,1,1
8,3066,1.0,236,7937,52,0,1,1
9,3066,0.9411764705882354,291,2736,52,0,1,1
11,3066,1.0,432,427,52,110,1,3
8,3066,1.0,290,3974,52,0,1,1
7,3066,1.0,446,4421,52,0,1,1
11,3066,1.0,87,5495,52,151,1,3
10,3788,1.0,147,807,51,178,0,2
4,3296,0.0,36,1577,80,52,0,0
5,3461,0.0,0,1584,80,18,0,0
5,341,0.0,336,1629,80,66,0,0
3,3917,0.0,20,1737,1,215,0,2
4,2359,0.3529411764705883,336,1882,80,11,0,0
5,3949,0.0,163,2013,80,27,0,0
8,3807,0.5882352941176472,331,2205,0,3,0,0
5,4013,0.6470588235294118,0,2322,80,200,0,2
4,3489,0.17647058823529416,308,2555,22,31,0,0
4,2664,0.411764705882353,60,2834,80,19,0,0
5,3451,0.0,185,3173,80,7,0,0
5,1410,0.0,191,3174,80,214,0,2
5,1208,0.0,226,3175,80,214,0,2
8,3066,1.0,196,2717,52,146,0,2
5,2805,0.0,20,3267,80,213,0,2
5,2818,0.0,512,3341,80,217,0,2
6,279,0.05882352941176472,52,3375,12,12,0,0
8,3066,0.823529411764706,399,7348,52,0,1,1
8,3066,1.0,80,7965,52,0,1,1
7,3066,0.9411764705882354,291,3849,52,0,1,1
3,1891,0.0,10,3942,79,4,0,0
3,1386,0.3529411764705883,202,4041,80,8,0,0
6,937,0.823529411764706,466,4043,10,5,0,0
4,4278,0.0,229,4188,80,4,0,0
8,3157,0.3529411764705883,199,4222,26,6,0,0
11,3066,0.9411764705882354,432,5948,52,0,1,1
4,4185,0.0,192,4424,80,9,0,0
4,3451,0.7647058823529412,308,4426,80,23,0,0
5,1030,0.0,229,4830,80,204,0,2
4,2284,0.0,20,4900,80,28,0,0
8,3066,0.9411764705882354,469,938,52,193,0,2
5,3823,0.0,173,5196,34,125,0,0
3,2722,0.23529411764705882,124,5236,80,192,0,2
3,562,0.0,9,5265,80,215,0,2
4,4434,0.11764705882352944,36,5519,80,218,0,2
11,3066,0.9411764705882354,75,8101,52,0,1,1
6,3066,0.9411764705882354,263,4376,52,0,1,1
8,3066,0.9411764705882354,114,7197,52,138,1,3
6,3066,0.8823529411764707,411,2997,52,0,1,1
9,3066,0.9411764705882354,273,8665,52,61,0,0
10,3066,0.9411764705882354,422,3846,52,110,1,3
10,3066,0.7058823529411765,421,5383,52,0,1,1
10,3066,0.7647058823529412,421,5659,52,0,1,1
6,3066,0.9411764705882354,392,2436,52,0,1,1
8,3066,0.823529411764706,291,3616,52,0,1,1
10,3066,0.9411764705882354,432,4566,52,138,1,3
5,3265,0.0,287,5828,80,207,0,2
4,2774,0.7647058823529412,309,6027,80,27,0,0
4,3491,0.0,226,6102,80,15,0,0
